State,District,City,Latitude,Longitude,Population,Area (in km^2),Pop_Density_per_sqkm,Trip Focus,PT_route_km_est,Coverage_km_per_km2,Accessibility_500m_pct,Avg_Trip_km_est,Fare_per_km_INR,Pct_Income_Spent_on_PT_monthly,Ridership_bus_per_day,Ridership_metro_per_day,Ridership_ipt_per_day,Frequency_score,Affordability_score,Integration_score,Reliability_score,NMT_score,City_Score,Recommended_PT_System,Recommended_PT_Reason
Jammu & Kashmir,Srinagar,Srinagar,34.08,74.8,1180570,298,3961.64,Long Trips (Metro/BRT Focus),284.308,0.9541,33.78,7.55,1.96,4.656,900775,125613,297268,41.3,90.2,51.5,58.7,90.6,76.87,Bus + BRT/Trolley + IPT (plan Metro/LRT corridors),"Based on population 1,180,570, density 3961.64, NA% short trips, and NA% medium trips."
Jammu & Kashmir,Anantnag,Anantnag,33.73,75.15,150198,189,794.7,Short Trips (IPT/Bus Focus),62.223,0.3292,9.12,5.77,2.25,6.61,60259,6008,72005,95.1,88.8,20.8,4.9,100,79.91,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 150,198, density 794.7, NA% short trips, and NA% medium trips."
Jammu & Kashmir,Jammu,Jammu,32.73,74.87,576198,1070,538.5,Short Trips (IPT/Bus Focus),527.53,0.493,21.01,6.74,2.08,5.196,386744,10948,196599,100,89.6,37,0,100,82.14,Bus System + IPT (dedicated lanes on major corridors),"Based on population 576,198, density 538.5, NA% short trips, and NA% medium trips."
Himachal Pradesh,Shimla,Shimla,31.1,77.17,169578,35,4845.09,Short Trips (IPT/Bus Focus),15.348,0.4385,7.94,6.55,2.06,5.707,64202,3358,76073,100,89.7,18.6,0,100,80.32,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 169,578, density 4845.09, NA% short trips, and NA% medium trips."
Punjab,Gurdaspur,Pathankot,32.27,75.65,156306,687,227.52,Short Trips (IPT/Bus Focus),282.796,0.4116,12.68,5.75,2.24,6.636,59928,7440,87469,50.6,88.8,22.8,49.4,100,75.66,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 156,306, density 227.52, NA% short trips, and NA% medium trips."
Punjab,Gurdaspur,Batala,31.82,75.21,158621,951,166.79,Short Trips (IPT/Bus Focus),666.866,0.7012,8.64,5.86,2.2,6.636,66050,5203,81944,100,89,20.7,0,100,80.42,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 158,621, density 166.79, NA% short trips, and NA% medium trips."
Punjab,Jalandhar,Jalandhar,31.33,75.58,868181,468,1855.09,Short Trips (IPT/Bus Focus),221.731,0.4738,25.38,6.95,2.09,4.876,569874,35075,327652,100,89.6,40.1,0,100,82.45,Bus System + IPT (dedicated lanes on major corridors),"Based on population 868,181, density 1855.09, NA% short trips, and NA% medium trips."
Punjab,Hoshiarpur,Hoshiarpur,31.53,75.91,168653,1119,150.72,Short Trips (IPT/Bus Focus),505.134,0.4514,8.62,5.89,2.26,6.089,67360,3272,80785,100,88.7,19.7,0,100,80.28,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 168,653, density 150.72, NA% short trips, and NA% medium trips."
Punjab,Ludhiana,Khanna,30.7,76.22,128137,212,604.42,Short Trips (IPT/Bus Focus),103.212,0.4868,9.64,5.72,2.24,6.782,47693,2742,60763,48.5,88.8,19.5,51.5,100,75.12,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 128,137, density 604.42, NA% short trips, and NA% medium trips."
Punjab,Ludhiana,Ludhiana,30.9,75.86,1618879,634,2553.44,Long Trips (Metro/BRT Focus),300.826,0.4745,22.65,8.27,1.79,4.632,1229700,76087,533583,81.4,91,42,18.6,80.9,79.08,Bus + BRT/Trolley + IPT (plan Metro/LRT corridors) (low density: prefer Bus/BRT + IPT; metro less efficient),"Based on population 1,618,879, density 2553.44, NA% short trips, and NA% medium trips."
